Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3741937,HIV_0000000007,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,,,2014,,,,,,,135,135.0,,,,2016-03-21T10:38:41+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3777109,HIV_0000000007,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,,,2014,,,,,,,34,34.0,,,,2016-03-21T10:38:39+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3792837,HIV_0000000007,COUNTRY,MLI,YEAR,AFR,Africa,,,2014,,,,,,,396,396.0,,,,2016-03-21T10:38:43+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3824174,HIV_0000000007,COUNTRY,BLZ,YEAR,AMR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:49+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3889316,HIV_0000000007,COUNTRY,TKM,YEAR,EUR,Europe,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:50+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3970737,HIV_0000000007,COUNTRY,WSM,YEAR,WPR,Western Pacific,,,2014,,,,,,,2,2.0,,,,2016-03-21T10:38:36+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4031515,HIV_0000000007,COUNTRY,URY,YEAR,AMR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:50+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4155145,HIV_0000000007,COUNTRY,BDI,YEAR,AFR,Africa,,,2014,,,,,,,789,789.0,,,,2016-03-21T10:38:44+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4180453,HIV_0000000007,COUNTRY,MDG,YEAR,AFR,Africa,,,2014,,,,,,, 1 670,1670.0,,,,2016-03-21T10:38:47+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4184742,HIV_0000000007,COUNTRY,SWZ,YEAR,AFR,Africa,,,2014,,,,,,,287,287.0,,,,2016-03-21T10:38:42+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4311284,HIV_0000000007,COUNTRY,SDN,YEAR,EMR,Eastern Mediterranean,,,2014,,,,,,,262,262.0,,,,2016-03-21T10:38:42+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4346344,HIV_0000000007,COUNTRY,ARG,YEAR,AMR,Americas,,,2014,,,,,,, 17 318,17318.0,,,,2016-03-21T10:38:48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4367404,HIV_0000000007,COUNTRY,GAB,YEAR,AFR,Africa,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:49+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4431538,HIV_0000000007,COUNTRY,CHN,YEAR,WPR,Western Pacific,,,2014,,,,,,, 21 210,21210.0,,,,2016-03-21T10:38:48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4453664,HIV_0000000007,COUNTRY,KIR,YEAR,WPR,Western Pacific,,,2014,,,,,,,9,9.0,,,,2016-03-21T10:38:37+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4531088,HIV_0000000007,COUNTRY,ZWE,YEAR,AFR,Africa,,,2014,,,,,,, 1 460,1460.0,,,,2016-03-21T10:38:46+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4624194,HIV_0000000007,COUNTRY,COL,YEAR,AMR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:49+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
